Cropland,ID,VH,VV,date,location,x,y
0,1,-28.44178519501869,-16.047355175364654,2018-01-01,Orenburg,54.74908023769473,51.39632342803949
0,2,-28.86685999475563,-17.228443792009866,2018-01-01,Orenburg,55.901428612819835,51.072192732688244
0,3,-29.8430359943129,-16.947424169813317,2018-01-01,Orenburg,55.19731696839408,51.627590039413896
0,4,-25.992741705650758,-13.869030429806761,2018-01-01,Orenburg,54.31203728088487,51.369462345107756
0,5,-24.04217700601373,-14.972195957697776,2018-01-01,Orenburg,54.1161672243364,51.82185436898769
0,6,-25.28835131481914,-13.948795069740205,2018-01-01,Orenburg,55.73235229154987,51.64507448584634
0,7,-26.61710886271293,-16.17954876009748,2018-01-01,Orenburg,55.202230023486415,51.899599826583845
0,8,-28.042810445735,-16.101757523551512,2018-01-01,Orenburg,55.41614515559209,51.45143901677672
0,9,-29.29510599524539,-17.36086409487928,2018-01-01,Orenburg,54.04116898859161,51.22683039187158
0,10,-25.683065621624866,-12.883559218254543,2018-01-01,Orenburg,55.664885281600846,51.865456966708024
0,11,-26.58011793138605,-16.315761924669488,2018-01-01,Orenburg,54.42467822135655,51.73212777900082
0,12,-28.498444308802604,-16.25190357767915,2018-01-01,Orenburg,55.049512863264475,51.621106661563665
0,13,-26.83178088674346,-14.951869883331767,2018-01-01,Orenburg,54.86389003728423,51.97455225862989
0,14,-26.795206713478677,-14.929936377101807,2018-01-01,Orenburg,55.22370578944476,51.18826143070427
0,15,-25.913956214712858,-14.822436126921668,2018-01-01,Orenburg,54.584289297070434,51.939828795629204
0,16,-20.39642316025013,-13.095807332578625,2018-01-01,Orenburg,54.732723686587384,51.684237846271415
0,17,-27.433163236285917,-15.320909027935823,2018-01-01,Orenburg,54.91213996843407,51.676657409422276
0,18,-23.514768733349698,-13.140164610985902,2018-01-01,Orenburg,54.09290082544,51.729444752510105
0,19,-29.33509728740709,-16.59990681111286,2018-01-01,Orenburg,55.215089703802875,51.62580201826015
1,20,-25.449957261280062,-15.282268538553359,2018-01-01,Orenburg,54.34104824737458,51.99943534657226
0,21,-27.210884422217017,-14.850784181830225,2018-01-01,Orenburg,54.13010318597056,51.99327367414781
0,22,-27.7236979625068,-16.137774788631475,2018-01-01,Orenburg,55.897771074506664,51.11086341120526
1,23,-28.27015375797853,-14.65444292178874,2018-01-01,Orenburg,55.93126406614912,51.53797483036102
1,24,-24.872859635414553,-15.152416432977816,2018-01-01,Orenburg,55.61679469623292,51.889531459764854
0,25,-22.43852378832333,-13.86537895257608,2018-01-01,Orenburg,54.609227538346744,51.69929478135482
0,26,-29.323929581955518,-16.338401044299975,2018-01-01,Orenburg,54.24407646968956,51.90810205451744
0,27,-29.23394903665694,-17.010933138965335,2018-01-01,Orenburg,54.99035382022254,51.21234926890176
0,28,-29.71834469801818,-17.53371226135603,2018-01-01,Orenburg,55.81864080415757,51.34340136881171
0,29,-27.49840300035101,-15.270641828110184,2018-01-01,Orenburg,54.517559963200036,51.23625648091579
1,30,-27.67744069657267,-16.122290743990032,2018-01-01,Orenburg,55.04013604235562,51.3431463911856
0,31,-28.85992121349504,-17.11086259452751,2018-01-01,Orenburg,55.09342055868656,51.040615401807585
0,32,-28.210753302382596,-15.632947097289245,2018-01-01,Orenburg,54.369708911051056,51.544636783471276
0,33,-29.675229054432855,-19.58878800879072,2018-01-01,Orenburg,55.939169255529116,51.04032700222399
1,34,-26.256068380766937,-14.77469029243801,2018-01-01,Orenburg,55.55026564672223,51.70436300063708
0,35,-26.091638994055998,-16.304461988497533,2018-01-01,Orenburg,55.87899788312838,51.10381367754897
0,36,-27.153598202575733,-16.081701824311818,2018-01-01,Orenburg,55.789654700855294,51.12187594307077
0,37,-18.462127872934353,-8.52585220967604,2018-01-01,Orenburg,55.19579995762217,51.75330720531669
1,38,-24.826436228756794,-14.677936410007334,2018-01-01,Orenburg,54.09045457782108,51.51027451134724
0,39,-25.678050276846104,-12.688665640877176,2018-01-01,Orenburg,54.65066066152653,51.24061910270693
0,40,-27.762116649339458,-15.316089202138356,2018-01-01,Orenburg,54.777354579378965,51.40815953619845
0,41,-27.04210141167835,-16.686850376752936,2018-01-01,Orenburg,55.085392166316495,51.17983537370927
1,42,-27.40860402374322,-13.91309940290718,2018-01-01,Orenburg,54.14910128735954,51.8083173889875
0,43,-27.159589977182968,-17.80148049058285,2018-01-01,Orenburg,55.54448953859332,51.027978978319624
0,44,-28.653893539578355,-17.044711451017697,2018-01-01,Orenburg,54.39743136306834,51.56730602548229
0,45,-29.025950131189063,-18.363088809531433,2018-01-01,Orenburg,55.63092285690967,51.24417340045575
0,46,-28.285531045089296,-18.21889766628065,2018-01-01,Orenburg,55.41371468769523,51.72472741749349
0,47,-28.690447179604366,-16.943040905991005,2018-01-01,Orenburg,55.45801433608197,51.89904124731528
1,48,-27.47337460714412,-16.856383627210633,2018-01-01,Orenburg,54.14808930346818,51.85317525032299
0,49,-20.866603093997853,-12.089305027791191,2018-01-01,Orenburg,55.24659625365511,51.960065150570955
0,50,-29.044267830296842,-17.771488445332647,2018-01-01,Orenburg,54.6617960497053,50.98523618798574
0,51,-26.67842648171239,-14.284411907281982,2018-01-01,Orenburg,54.621964643431326,51.26680170863345
0,52,-28.720412679276155,-18.29259353374762,2018-01-01,Orenburg,55.42648957444599,51.281749489606426
1,53,-26.021639217493693,-15.729701170661757,2018-01-01,Orenburg,55.54193435990912,51.793576819812024
0,54,-28.51297695941036,-15.630959089790633,2018-01-01,Orenburg,55.04546565876399,51.33511547704205
0,55,-29.00271485397147,-18.43880128050024,2018-01-01,Orenburg,54.45759633098324,51.006834541709715
1,56,-27.81969215457079,-15.9719031803184,2018-01-01,Orenburg,54.15395981965759,51.38078965725873
0,57,-28.178678097059745,-16.269752904695014,2018-01-01,Orenburg,54.32244257450801,51.598820797818085
0,58,-29.513425019512145,-17.333755229740067,2018-01-01,Orenburg,55.859395304685144,51.255800778981815
0,59,-18.21617862455819,-9.67205395764098,2018-01-01,Orenburg,55.266807513020844,51.747157248213554
0,60,-27.48427956182724,-16.036779228548674,2018-01-01,Orenburg,55.74292118037543,51.841744801063626
0,61,-23.85266285065332,-13.779068478549982,2018-01-01,Orenburg,55.785117996979956,51.61240255958612
0,62,-30.53633598344456,-18.990375837522855,2018-01-01,Orenburg,55.0786844838313,51.49651938076732
0,63,-27.978479955581896,-17.495139296914914,2018-01-01,Orenburg,54.455870325083886,51.23650954306059
0,64,-28.869747239303955,-17.449658267746536,2018-01-01,Orenburg,55.72146116651269,51.49494187626751
0,65,-27.952441105183237,-14.737588422024308,2018-01-01,Orenburg,54.83482200629756,51.4266991717691
0,66,-25.087384226024287,-14.899768371646733,2018-01-01,Orenburg,54.44421562094146,51.790413675374396
0,67,-29.81276086683481,-18.79440201608433,2018-01-01,Orenburg,54.23973073466737,51.02335488423133
0,68,-28.962895757506686,-18.03967844605305,2018-01-01,Orenburg,54.675230342807254,51.06422697053063
0,69,-25.36701233923159,-13.578858668131028,2018-01-01,Orenburg,55.037581243486734,51.06523453291005
0,70,-21.37390049255486,-13.189803338779612,2018-01-01,Orenburg,54.07377389470906,51.78105456147979
0,71,-28.13395584107574,-14.997328297346254,2018-01-01,Orenburg,55.219128667959794,51.1871849071081
0,72,-25.06552507732769,-13.220880221539899,2018-01-01,Orenburg,55.00535804645772,51.35820463828898
1,73,-25.966521479924015,-15.020353493851644,2018-01-01,Orenburg,54.102957502499976,51.578342477214676
0,74,-24.341905506151377,-14.672896867199174,2018-01-01,Orenburg,54.557292928473224,50.99688439785812
0,75,-25.92689998354403,-15.74679681893816,2018-01-01,Orenburg,54.479123781333946,51.0742130836371
0,76,-28.275201785950443,-16.95606868456487,2018-01-01,Orenburg,54.28978974418244,51.173682236041756
0,77,-28.94023590431712,-15.838027913384217,2018-01-01,Orenburg,54.978905520555124,51.49087894836866
0,78,-27.965794476343824,-16.9125102701422,2018-01-01,Orenburg,54.4752750879848,51.291834482663205
0,79,-28.11228224573309,-17.206112880058434,2018-01-01,Orenburg,55.45643269722372,51.141556609337826
0,80,-21.079876290728894,-12.835097413445045,2018-01-01,Orenburg,55.26461166118716,51.97303049758596
0,81,-26.830002204522206,-14.80826292812409,2018-01-01,Orenburg,55.267059421521786,51.21154963871378
1,82,-28.213190856360868,-17.64257132044042,2018-01-01,Orenburg,54.033175657855715,51.79353084925285
1,83,-26.016016252162522,-15.202260582352485,2018-01-01,Orenburg,54.45299155039588,51.04902277914051
0,84,-28.134280448002006,-17.281952419261376,2018-01-01,Orenburg,54.34873285800998,51.96475723381721
0,85,-28.03418154382794,-19.323664936459608,2018-01-01,Orenburg,55.873459977473466,51.93894086655074
0,86,-24.935748485192686,-13.91601892123296,2018-01-01,Orenburg,54.27504188829199,51.73101425178796
0,87,-27.978133891310677,-16.312103713699337,2018-01-01,Orenburg,54.68213270210052,51.63414414189856
1,88,-27.735384422151252,-14.900441964051119,2018-01-01,Orenburg,55.754678706761965,51.33728643984886
0,89,-27.532777118409136,-16.911761502566797,2018-01-01,Orenburg,54.51588325543031,51.85875197825517
0,90,-23.644168689784276,-15.882455581009308,2018-01-01,Orenburg,55.31996809206836,51.11352578602786
0,91,-27.017590143566064,-14.46599407742094,2018-01-01,Orenburg,55.63444440040243,51.1432253789398
0,92,-28.436494086277257,-17.49520609823988,2018-01-01,Orenburg,55.05930115671201,51.538985866383875
0,93,-27.89487793185361,-16.53588253375231,2018-01-01,Orenburg,55.800836114326664,51.01522075736891
0,94,-27.946751322265758,-16.05586311864473,2018-01-01,Orenburg,54.69841914922532,51.22124008488326
0,95,-27.954713373200633,-16.496441279600376,2018-01-01,Orenburg,55.79422051990515,51.162476442845225
0,96,-28.737728919269276,-17.328618757661612,2018-01-01,Orenburg,55.28406329230857,51.06517886510317
0,97,-25.50431911989212,-15.573595939822543,2018-01-01,Orenburg,54.01839410323326,51.97992046477989
0,98,-29.401535158856248,-17.086747505865326,2018-01-01,Orenburg,55.32700353821611,51.61974889170927
0,99,-25.865693649270995,-13.352917062751597,2018-01-01,Orenburg,54.321616102834994,51.36300544444786
0,100,-27.848483411586113,-16.424297011147047,2018-01-01,Orenburg,55.09746757873317,51.52045571977937
0,101,-29.381961158038177,-18.53514885960183,2018-01-01,Orenburg,55.38379039538539,51.191277481215685
0,102,-22.485100997049777,-14.586489644482109,2018-01-01,Orenburg,54.4744981749936,51.85905828849565
0,103,-26.010869111194943,-14.94180436735814,2018-01-01,Orenburg,54.65079939631853,51.66123881557546
0,104,-28.653684153223278,-18.228321312431287,2018-01-01,Orenburg,55.49298281023605,51.930053821333026
0,105,-29.06251980014104,-18.290446998887557,2018-01-01,Orenburg,55.69844682098836,51.46173495040729
0,106,-29.459522997744852,-18.03275972269138,2018-01-01,Orenburg,55.315225784600685,51.876680913642076
0,107,-28.634315434567647,-16.45577887495206,2018-01-01,Orenburg,54.735431606118865,51.48224129858012
0,108,-27.562171787518857,-16.331013967475457,2018-01-01,Orenburg,54.53040473536345,51.148946226359826
0,109,-26.557329089794944,-16.55810745910753,2018-01-01,Orenburg,54.48797928675817,51.68365755351655
0,110,-27.138329991163893,-14.73128955526453,2018-01-01,Orenburg,54.78619544933352,51.59053462371978
0,111,-29.060647448627307,-16.924257236477118,2018-01-01,Orenburg,55.005274186210386,51.62914944046276
0,112,-30.01978635745995,-18.786144200762735,2018-01-01,Orenburg,55.153807769252715,51.3303944413924
1,113,-25.039811600495426,-14.147801527654348,2018-01-01,Orenburg,54.98503538763773,51.04613084953824
0,114,-26.344930546035506,-17.55603695334483,2018-01-01,Orenburg,55.44490423052301,51.75440108162621
0,115,-21.75703924612347,-13.811540166367605,2018-01-01,Orenburg,54.04863193286291,51.633198878943155
0,116,-26.95306728442815,-16.667565282915717,2018-01-01,Orenburg,55.829728780440895,51.4952187603525
0,117,-25.936176364580533,-16.09218635479107,2018-01-01,Orenburg,54.74031740051089,51.005440780184955
1,118,-26.42134819252034,-15.556593778289848,2018-01-01,Orenburg,55.85663712517545,51.799149146549134
0,119,-29.437371838517716,-19.288935149895302,2018-01-01,Orenburg,55.93330963808734,51.087105722227975
1,120,-25.41688831960094,-12.847152281474228,2018-01-01,Orenburg,55.9272399541785,51.812944221929094
1,121,-26.88534645470085,-16.15269409435965,2018-01-01,Orenburg,55.70601891093472,51.24847599182799
0,122,-22.082489113288798,-13.971770042872494,2018-01-01,Orenburg,54.77019545720385,51.87966424722695
0,123,-28.15916843449089,-17.3289669237178,2018-01-01,Orenburg,55.70227334303372,51.25541610614284
0,124,-29.41669859691126,-17.088369379131116,2018-01-01,Orenburg,55.1136025249167,51.58805037854059
0,125,-28.711466340024177,-15.800754101212318,2018-01-01,Orenburg,55.87230954832156,51.24014551185703
0,126,-29.000219681732073,-17.752837656575537,2018-01-01,Orenburg,55.39205959334995,51.06692218395264
0,127,-13.303403945491418,-5.252662553953828,2018-01-01,Orenburg,55.14012234017873,51.78778516610191
1,128,-27.503293488117567,-16.368148901543893,2018-01-01,Orenburg,54.194352987541535,51.57719442244906
0,129,-30.76089702099186,-18.469434503935634,2018-01-01,Orenburg,55.03665930472747,51.48789258514535
0,130,-26.024054363182614,-15.78150433044361,2018-01-01,Orenburg,55.48153723550841,51.139779369742634
0,131,-26.99016629559375,-17.316034754815913,2018-01-01,Orenburg,55.39403148199054,51.52491737148138
1,132,-26.359984162885954,-13.514358336879278,2018-01-01,Orenburg,55.40496816797422,51.7535312735235
0,133,-26.08148342291676,-15.704267597742717,2018-01-01,Orenburg,54.58718368852899,51.642514609344026
0,134,-28.818131354407775,-18.596556164186634,2018-01-01,Orenburg,55.62022678935836,51.69290458346904
0,135,-22.599866832412406,-13.734957741944196,2018-01-01,Orenburg,55.02268479772187,51.59459073155911
0,136,-30.534071533098427,-18.079109226540993,2018-01-01,Orenburg,55.29992786155553,51.444505136786134
0,137,-29.033536528230577,-18.740780559541253,2018-01-01,Orenburg,55.40393375451541,51.44007307309215
0,138,-29.319215856310954,-18.645842292453587,2018-01-01,Orenburg,55.5915853388722,51.28229526577059
0,139,-28.186961892798156,-15.844378405502093,2018-01-01,Orenburg,55.78001068363513,51.3878968889342
0,140,-27.032024131399258,-15.343475093878514,2018-01-01,Orenburg,54.675990313703075,51.08544888669519
0,141,-24.961835408128913,-14.228525979999167,2018-01-01,Orenburg,54.071884547593484,51.816901122667254
0,142,-19.338186311572127,-11.38619770140142,2018-01-01,Orenburg,54.93119603626492,51.166783589532244
0,143,-21.7163914154791,-13.363394511448902,2018-01-01,Orenburg,55.18166652113802,51.89456667922363
0,144,-29.441715638150292,-18.981647482131805,2018-01-01,Orenburg,54.07469637749843,51.172459664033596
0,145,-27.720509948207944,-17.51277188124128,2018-01-01,Orenburg,55.64520112131932,51.011777357768935
1,146,-25.244481725097977,-14.411318604448212,2018-01-01,Orenburg,54.72038128282252,51.22290847086929
0,147,-16.912533179405774,-8.726943448101675,2018-01-01,Orenburg,55.04448652010961,51.7442478178883
0,148,-26.213766167983845,-15.027095601092372,2018-01-01,Orenburg,55.53998710619722,51.86423656496722
0,149,-27.487395017387477,-15.971418796308559,2018-01-01,Orenburg,54.43164205499369,51.130266367178415
0,150,-30.329581807569703,-17.259109414392363,2018-01-01,Orenburg,55.245780951638004,51.39330164775379
0,151,-27.68127020520178,-16.762699693092586,2018-01-01,Orenburg,54.17069492998753,51.84499876235459
0,152,-27.240103308300068,-16.027236389915203,2018-01-01,Orenburg,54.10336344233721,51.4144772686268
0,153,-23.98914230743984,-14.656109286101882,2018-01-01,Orenburg,55.08127024322021,51.15257672033363
1,154,-24.3907228019986,-13.261527143466362,2018-01-01,Orenburg,55.27485980299641,51.21343009276571
0,155,-28.18103599452792,-15.870694810894287,2018-01-01,Orenburg,55.95170415892507,51.47288847124945
0,156,-16.97076663759878,-9.475710377186681,2018-01-01,Orenburg,55.032600696602394,51.86873402953803
0,157,-26.877422080614764,-16.627120643043604,2018-01-01,Orenburg,54.64591294588249,51.85113702581355
